level, questions, choices, answers, explanations
1,파이썬에서 변수 이름으로 사용할 수 없는 것은?,"A) my_var\nB) _value\nC) 2ndvalue\nD) studentName",C,"변수명은 숫자로 시작할 수 없으므로 2ndvalue는 사용할 수 없습니다."
1,파이썬에서 정수형을 의미하는 데이터 타입은?,"A) int\nB) float\nC) str\nD) bool",A,"int는 정수형 데이터를 표현할 때 사용하는 타입입니다."
1,다음 중 불리언(Boolean) 값인 것은?,"A) True\nB) 'False'\nC) 0\nD) '0'",A,"True는 불리언 타입이고, 따옴표가 있으면 문자열입니다."
1,다음 코드 실행 결과 x의 타입은? x=3.14  type(x),"A) int\nB) float\nC) str\nD) bool",B,"x에 3.14를 대입하면 float(실수형) 타입이 됩니다."
1,다음 중 문자열(string)인 것은?,"A) '123'\nB) 123\nC) 12.3\nD) True",A,"'123'처럼 따옴표로 감싸면 문자열로 인식됩니다."
1,변수 x=10일 때 type(x)의 출력은?,"A) int\nB) float\nC) str\nD) bool",A,"x가 10이니 타입은 int(정수형)입니다."
1,파이썬에서 여러 줄 문자열을 작성할 때 사용하는 기호는?,"A) ''' 또는 \"\"\"\nB) //\nC) /* */\nD) --",A,"여러 줄 문자열은 ''' 또는 \"\"\"로 감싸서 만듭니다."
1,파이썬에서 변수 이름으로 권장되지 않는 것은?,"A) total_sum\nB) tempVar\nC) Print\nD) numberOfItems",C,"Print는 내장 함수이므로 변수명으로 쓰는 걸 권장하지 않습니다."
2,다음 중 불변(immutable)한 데이터 타입은?,"A) list\nB) set\nC) str\nD) dict",C,"str은 한번 만든 뒤 값이 바뀌지 않는(불변) 자료형입니다."
2,파이썬에서 자료형을 확인하는 함수는?,"A) typeof()\nB) type()\nC) dataType()\nD) checkType()",B,"type() 함수를 쓰면 변수의 자료형을 알 수 있습니다."
2,변수명으로 올바른 것은?,"A) first-name\nB) first name\nC) firstName\nD) 2first",C,"firstName은 규칙에 맞는 올바른 변수명입니다."
2,다음 중 mutable(가변) 자료형은?,"A) tuple\nB) str\nC) list\nD) int",C,"list 자료형은 변경(수정)이 가능합니다."
2,파이썬에서 불리언 연산 결과와 같은 값은?  bool(0),"A) True\nB) False\nC) 1\nD) 2",B,"숫자 0은 False로 변환됩니다."
2,x="10" 일 때 int(x)의 값은?,"A) 10\nB) '10'\nC) 에러\nD) 0",A,"'10'이라는 문자열을 int로 변환하면 정수 10이 됩니다."
2,다음 중 float 형의 값이 아닌 것은?,"A) 3.5\nB) 0.0\nC) -2.7\nD) '3.5'",D,"'3.5'는 따옴표로 감싸진 문자열이므로 float형이 아닙니다."
2,문자열 연결 연산자인 것은?,"A) +\nB) *\nC) &\nD) ||",A,"+ 연산자는 두 문자열을 연결할 때 사용합니다."
3,다음 중 reserved word(예약어)는?,"A) class\nB) Class\nC) myClass\nD) className",A,"class는 파이썬에서 예약어라 변수명으로 사용할 수 없습니다."
3,문자열의 길이를 구하는 함수는?,"A) count()\nB) size()\nC) len()\nD) length()",C,"len() 함수로 문자열의 길이를 구할 수 있습니다."
3,파이썬에서 소수점 이하 자리수 없이 정수를 표현하는 리터럴은?,"A) float\nB) int\nC) bool\nD) char",B,"정수 리터럴은 int로 나타냅니다."
3,다음 코드 출력 결과는? x=None  print(type(x),"A) <class 'str'>\nB) <class 'int'>\nC) <class 'NoneType'>\nD)<class,'bool'>",C,"None을 type에 넣으면 <class 'NoneType'>이 나옵니다."
3,다음 코드 출력은? a="3"  b=4  print(a*b),"A) 12\nB) 3333\nC) 에러\nD) 7",B,"'3'*4는 문자열 '3'을 4번 반복하여 '3333'이 출력됩니다."
3,파이썬에서 튜플(tuple)과 리스트(list)의 가장 큰 차이점은?,"A) 튜플은 가변, 리스트는 불변\nB) 튜플은 불변, 리스트는 가변\nC) 둘 다 가변\nD) 둘 다 불변",B,"튜플은 수정할 수 없고, 리스트는 수정이 가능합니다."
3,파이썬에서 함수형 프로그래밍 스타일을 지원하는 데이터 타입은?,"A) dict\nB) tuple\nC) set\nD) list",B,"tuple은 값이 변경되지 않아 함수형 프로그래밍에 적합합니다."
3,파이썬에서 변수의 스코프(scope)에 영향을 주는 키워드는?,"A) global\nB) static\nC) private\nD) extern",A,"global을 쓰면 변수의 스코프(범위)를 전역으로 지정합니다."
3,파이썬에서 리스트 컴프리헨션(List comprehension)의 용도로 가장 적절한 것은?,"A) 반복문을 간단히 표현\nB) 변수 선언\nC) 클래스 정의\nD) 함수 호출",A,"리스트 컴프리헨션은 반복문을 한 줄로 간단히 표기할 때 사용합니다."

