level, questions, choices, answers, explanations
1,파이썬에서 특정 조건에 따라 코드 블록을 실행할 때 사용하는 키워드는 무엇인가요?,A) loop \nB) when \nC) if \nD) while,C,if는 파이썬에서 조건을 검사하여 코드 실행 여부를 결정하는 조건문의 시작 키워드입니다.
1,다음 중 0부터 4까지의 숫자를 순서대로 출력하는 for 반복문 코드는 무엇인가요?,"A) for i in range(5): print(i) \nB) for i in range(1, 5): print(i) \nC) for i from 0 to 4: print(i) \nD) for i in list(5): print(i)",A,"range(n) 함수는 0부터 n-1까지의 정수를 생성하므로, range(5)는 0, 1, 2, 3, 4를 생성합니다."
1,"다음 while 반복문은 몇 번 ""반복""을 출력하나요?\ncount = 0\nwhile count < 2:\n\tprint(""반복"")\n\tcount += 1",A) 0번 \nB) 1번 \nC) 2번 \nD) 3번,C,"count가 0일 때, 1일 때 count < 2 조건이 참이 되어 총 두 번 ""반복""을 출력합니다. count가 2가 되면 조건이 거짓이 되어 반복문이 종료됩니다."
1,다음 중 조건문 뒤에 반드시 와야 하는 기호는 무엇인가요?,"A) . (마침표) \nB) ; (세미콜론) \nC) : (콜론) \nD) , (쉼표)",C,"파이썬에서는 if나 elif, else, for, while 문 뒤에 콜론(:)을 붙여 코드 블록의 시작을 알립니다."
1,"다음 코드의 출력 결과는 무엇인가요?\na = 5; b = 3 \nif a > b: \n\tprint(""a가 더 크다"") \nelse: \n\tprint(""b가 더 크거나 같다"")",A) a가 더 크다 \nB) b가 더 크거나 같다 \nC) 오류 \nD) 아무것도 출력되지 않음,A,"a는 b보다 크므로 if 조건이 참이 되어 ""a가 더 크다""가 출력됩니다."
1,while 반복문은 주로 어떤 경우에 사용되나요?,A) 리스트의 모든 요소를 순회할 때 \nB) 함수를 여러 번 실행할 때 \nC) 특정 조건이 만족될 때까지 코드를 계속 실행할 때 \nD) 숫자를 한 번만 출력할 때,C,while 반복문은 주어진 조건이 참인 동안 코드 블록을 계속 반복 실행합니다.
1,"다음 코드의 결과는 무엇인가요?\nis_sunny = True\nif is_sunny:\n\tprint(""산책 가자!"")",A) 산책 가자! \nB) 아무것도 출력되지 않음 \nC) 오류 발생 \nD) True,A,"is_sunny 변수가 True이므로 if 조건이 참이 되어 ""산책 가자!""가 출력됩니다."
1,"다음 코드에서 print(""반갑습니다"")는 몇 번 실행되나요?\nfor _ in range(4):\n\tprint(""반갑습니다"")",A) 1번 \nB) 2번 \nC) 3번 \nD) 4번,D,"range(4)는 0, 1, 2, 3을 생성하므로 for 반복문은 총 4번 실행됩니다. 따라서 ""반갑습니다""도 4번 출력됩니다."
2,"다음 코드의 출력 결과는 무엇인가요?\ntemperature = 28\nif temperature > 30:\n\tprint(""매우 더움"")\nelif temperature >= 25:\n\tprint(""더움"")\nelse:\n\tprint(""적정 온도"")",A) 매우 더움 \nB) 더움 \nC) 적정 온도 \nD) 오류 발생,B,"temperature는 30보다 크지 않으므로 첫 번째 if 조건은 거짓입니다. 하지만 25보다 크거나 같으므로 elif 조건이 참이 되어 ""더움""이 출력됩니다."
2,다음 for 반복문에서 continue 키워드가 실행되었을 때 어떤 일이 발생하나요?\nfor i in range(3):\n\tif i == 1:\n\t\tcontinue\n\tprint(i),"A) 반복문이 즉시 종료된다. \nB) i가 1일 때만 코드를 실행하고 종료된다. \nC) i가 1일 때, 현재 반복을 건너뛰고 다음 반복으로 넘어간다. \nD) 오류가 발생한다.",C,"continue는 현재 반복의 남은 부분을 건너뛰고 다음 반복을 즉시 시작하게 합니다. 따라서 i가 1일 때는 print(i)가 실행되지 않고, i가 0과 2일 때만 출력됩니다."
